,Dice loss
155,1.3899234533309937
156,1.364281415939331
157,1.4214067459106445
158,1.3869562149047852
159,1.2860268354415894
160,1.3876678943634033
161,1.3321821689605713
162,1.3697357177734375
163,1.3179850578308105
164,1.3515100479125977
165,1.355769157409668
166,1.414811134338379
167,1.3751564025878906
168,1.2665190696716309
169,1.4178889989852905
170,1.4325478076934814
171,1.4465097188949585
172,1.4154999256134033
173,1.318953037261963
174,1.3603894710540771
175,1.382174015045166
176,1.3655784130096436
177,1.2861573696136475
178,1.2597321271896362
179,1.2888894081115723
180,1.5452368259429932
181,1.3135497570037842
182,1.3160631656646729
183,1.352442741394043
184,1.2795569896697998
185,1.284816026687622
186,1.2798454761505127
187,1.2280981540679932
188,1.3492982387542725
189,1.293891191482544
190,1.240849256515503
191,1.3321831226348877
192,1.3589651584625244
193,1.5708345174789429
194,1.424862265586853
195,1.340245008468628
196,1.3061505556106567
197,1.2693995237350464
198,1.3336973190307617
199,1.5011152029037476
200,1.254197359085083
201,1.3313058614730835
202,1.385279655456543
203,1.3234972953796387
204,1.3479843139648438
205,1.3593661785125732
206,1.3471206426620483
207,1.2926299571990967
208,1.2737125158309937
209,1.2103321552276611
210,1.3083248138427734
211,1.2036523818969727
212,1.2919262647628784
213,1.3451988697052002
214,1.2668728828430176
215,1.1764862537384033
216,1.338571310043335
217,1.3671503067016602
218,1.284756064414978
219,1.387817144393921
220,1.3565289974212646
221,1.1761195659637451
222,1.3061647415161133
223,1.1305160522460938
224,1.274819254875183
225,1.2416088581085205
226,1.2324645519256592
227,1.3781636953353882
228,1.3516292572021484
229,1.341155767440796
230,1.1959903240203857
231,1.2306389808654785
232,1.3359055519104004
233,1.340619444847107
234,1.076395869255066
235,1.229970932006836
236,1.270201563835144
237,1.3021488189697266
238,1.2008635997772217
239,1.3032211065292358
240,1.2519892454147339
241,1.2124443054199219
242,1.0814900398254395
243,1.2943642139434814
244,1.435030221939087
245,1.2884576320648193
246,1.2729949951171875
247,1.190986156463623
248,1.2868317365646362
249,1.3478608131408691
250,1.1797244548797607
251,1.3021931648254395
252,1.1483283042907715
253,1.2478808164596558
254,1.2782584428787231
255,1.2986207008361816
256,1.1633195877075195
257,1.2127883434295654
258,1.287178874015808
259,1.4016199111938477
260,1.2859044075012207
261,1.1999802589416504
262,1.185651421546936
263,1.2087973356246948
264,1.3270137310028076
265,1.126696228981018
266,1.2274391651153564
267,1.1264972686767578
268,1.2671016454696655
269,1.2144787311553955
270,1.1756833791732788
271,1.2450541257858276
272,1.1568642854690552
273,1.2794668674468994
274,1.2329689264297485
275,1.4158649444580078
276,1.4395339488983154
277,1.2180346250534058
278,1.3173927068710327
279,1.2452399730682373
280,1.1778115034103394
281,1.1655421257019043
282,1.4442541599273682
283,1.2454676628112793
284,1.1447781324386597
285,1.122328281402588
286,1.2044438123703003
287,1.2381926774978638
288,1.362924337387085
289,1.1110846996307373
290,1.1663767099380493
291,1.2451759576797485
292,1.2201370000839233
293,1.0885909795761108
294,1.282784342765808
295,1.1555190086364746
296,1.2088875770568848
297,1.1722073554992676
298,1.0327503681182861
299,1.2058862447738647
300,1.2366122007369995
301,1.279968023300171
302,1.0830668210983276
303,1.0109872817993164
304,1.1777065992355347
305,1.1240652799606323
306,1.3798086643218994
307,1.1897392272949219
308,1.2015961408615112
309,1.1578086614608765
310,1.2566404342651367
311,1.198559045791626
312,1.1970839500427246
313,1.2400083541870117
314,1.1422778367996216
315,1.334829330444336
316,1.2659931182861328
317,1.1525424718856812
318,1.4526300430297852
319,1.1487228870391846
320,1.2159802913665771
321,1.170560359954834
322,1.1511821746826172
323,1.1047933101654053
324,1.2630032300949097
325,1.139112114906311
326,1.0929005146026611
327,1.1097218990325928
328,1.1511982679367065
329,1.1697492599487305
330,1.1979882717132568
331,1.0557513236999512
332,1.096722960472107
333,1.1107089519500732
334,1.2597678899765015
335,1.116344928741455
336,1.1555627584457397
337,1.2291982173919678
338,1.1004148721694946
339,1.3737844228744507
340,1.038736343383789
341,1.2806429862976074
342,0.9675197601318359
343,0.9686214327812195
344,1.3811039924621582
345,1.2159651517868042
346,1.2114490270614624
347,1.104008674621582
348,1.1019222736358643
349,1.2557862997055054
350,1.2383723258972168
351,1.2361496686935425
352,1.1151591539382935
353,1.0997225046157837
354,1.173372507095337
355,1.079816460609436
356,1.1500205993652344
357,1.234276294708252
358,1.0231950283050537
359,1.260373830795288
360,1.1538347005844116
361,1.1231224536895752
362,1.1394340991973877
363,0.9894244074821472
364,1.1471915245056152
365,1.2460381984710693
366,1.1758116483688354
367,1.1310362815856934
368,1.3237384557724
369,1.2597730159759521
370,1.186177134513855
371,1.3734887838363647
372,1.1887071132659912
373,1.052225112915039
374,1.3890283107757568
375,1.199092149734497
376,0.9991097450256348
377,1.1259456872940063
378,1.0662704706192017
379,0.8929539918899536
380,1.2510051727294922
381,1.2154879570007324
382,1.1753301620483398
383,1.1309409141540527
384,1.0785123109817505
385,1.1696295738220215
386,1.2267130613327026
387,1.1275994777679443
388,1.2062113285064697
389,1.0058090686798096
390,1.308678388595581
391,1.1865235567092896
392,1.174145221710205
393,1.1938217878341675
394,1.1105470657348633
395,1.1322879791259766
396,1.1653649806976318
397,1.0284559726715088
398,1.1240452527999878
399,1.139601230621338
400,1.1309294700622559
401,1.0107020139694214
402,1.092219352722168
403,1.1572468280792236
404,1.231484055519104
405,1.0506603717803955
406,1.1867908239364624
407,1.4344937801361084
408,1.140459418296814
409,1.2319421768188477
410,1.2691514492034912
411,1.087233304977417
412,0.9997971057891846
413,1.083968997001648
414,1.1261125802993774
415,1.135034203529358
416,1.1214563846588135
417,1.0364545583724976
418,1.1661202907562256
419,1.0259463787078857
420,0.9883570671081543
421,1.1196346282958984
422,1.0463470220565796
423,1.1082178354263306
424,1.0642814636230469
425,1.0931261777877808
426,0.9747281074523926
427,1.1936527490615845
428,1.1614817380905151
429,0.9997860789299011
430,1.181766390800476
431,1.0483263731002808
432,1.138299822807312
433,1.1367619037628174
434,1.152040958404541
435,1.079604148864746
436,1.108816146850586
437,1.010849952697754
438,1.1529176235198975
439,1.0308079719543457
440,0.8888222575187683
441,1.164663553237915
442,1.2785208225250244
443,1.0909268856048584
444,1.2154135704040527
445,1.096799612045288
446,1.1408812999725342
447,1.1170176267623901
448,1.1991963386535645
449,1.2722491025924683
450,1.1208339929580688
451,1.0754259824752808
452,1.0517125129699707
453,1.1613829135894775
454,1.0455485582351685
455,1.113544225692749
456,1.2399659156799316
457,1.113444447517395
458,1.0315866470336914
459,1.1199630498886108
460,1.0788439512252808
461,1.1466258764266968
462,1.0176215171813965
463,1.0356372594833374
464,0.8941410779953003
465,0.9909290671348572
466,1.1379835605621338
467,1.0236294269561768
468,1.0945851802825928
469,0.9468129873275757
470,1.1713757514953613
471,1.0131454467773438
472,1.1329694986343384
473,1.09059476852417
474,0.932044506072998
475,1.0140714645385742
476,1.0588421821594238
477,1.1767446994781494
478,1.0816656351089478
479,0.998659610748291
480,1.0856397151947021
481,0.9926378130912781
