,Dice loss
213,1.5827522277832031
214,1.7582978010177612
215,1.5303447246551514
216,2.0
217,2.0
218,1.3648464679718018
219,1.9502588510513306
220,1.5425406694412231
221,1.7123167514801025
222,1.296525239944458
223,1.4071357250213623
224,1.317103624343872
225,1.8006949424743652
226,1.296382188796997
227,1.3406543731689453
228,1.802470088005066
229,1.5314466953277588
230,1.286719799041748
231,1.3084158897399902
232,1.5314316749572754
233,1.7727786302566528
234,1.5579890012741089
235,2.0
236,1.1568480730056763
237,2.0
238,1.7675409317016602
239,1.5798735618591309
240,1.2861307859420776
241,2.0
242,1.5767254829406738
243,1.7691633701324463
244,1.7674305438995361
245,1.2995455265045166
246,2.0
247,1.7814732789993286
248,1.612064003944397
249,1.2821853160858154
250,1.5234655141830444
251,1.7747220993041992
252,1.1290267705917358
253,1.309859037399292
254,1.3222954273223877
255,1.5123131275177002
256,2.0
257,1.3202486038208008
258,1.1797490119934082
259,1.5303560495376587
260,1.3493626117706299
261,1.5275521278381348
262,1.5287419557571411
263,1.7580726146697998
264,1.7594447135925293
265,1.2845993041992188
266,1.3049874305725098
267,2.0
268,1.728376865386963
269,2.0
270,1.3032174110412598
271,1.276848554611206
272,1.5629395246505737
273,1.309504508972168
274,1.6396815776824951
275,1.2872765064239502
276,1.3008822202682495
277,1.5243165493011475
278,1.7609175443649292
279,1.29901123046875
280,1.4851278066635132
281,1.800156593322754
282,1.999999761581421
283,1.3204940557479858
284,1.285336971282959
285,1.5619347095489502
286,1.1018126010894775
287,1.324925422668457
288,1.3160347938537598
289,1.2897188663482666
290,1.7784218788146973
291,1.3264834880828857
292,1.2928426265716553
293,1.3700871467590332
294,1.2985620498657227
295,1.5575823783874512
296,1.7695834636688232
297,1.6106586456298828
298,1.5686349868774414
299,1.3030426502227783
300,1.5956783294677734
301,1.5347696542739868
302,1.3007216453552246
303,1.366705298423767
304,1.757599115371704
305,1.2757854461669922
306,1.5397953987121582
307,1.6904222965240479
308,1.347856879234314
309,1.8394547700881958
310,1.1001611948013306
311,1.3068426847457886
312,1.3019839525222778
313,1.671212077140808
314,1.2942708730697632
315,1.290220856666565
316,1.8089885711669922
317,1.7641817331314087
318,1.0962274074554443
319,1.2986081838607788
320,2.0
321,1.3026325702667236
322,1.2775622606277466
323,1.54408597946167
324,1.5271936655044556
325,1.7789497375488281
326,1.4179291725158691
327,1.5243010520935059
328,1.3429086208343506
329,1.7852673530578613
330,1.2823704481124878
331,1.5360231399536133
332,1.2835438251495361
333,1.1450608968734741
334,1.5294404029846191
335,1.6756343841552734
336,1.2879899740219116
337,1.3676270246505737
338,1.2917919158935547
339,1.5449728965759277
340,1.1117043495178223
341,1.2792755365371704
342,1.2859232425689697
343,2.0
344,2.0
345,1.5097997188568115
346,1.2956693172454834
347,1.7681264877319336
348,1.2918895483016968
349,1.2821764945983887
350,1.35593581199646
351,1.2850995063781738
352,1.2754708528518677
353,1.6909664869308472
354,1.4064311981201172
355,1.2896631956100464
356,1.7689526081085205
357,1.101369857788086
358,1.6720131635665894
359,1.2791593074798584
360,1.5303118228912354
361,1.534914255142212
362,2.0
363,1.2915642261505127
364,1.3676871061325073
365,1.9987913370132446
366,1.288853406906128
367,1.7585777044296265
368,1.281604290008545
369,1.2922906875610352
370,2.0
371,1.303234338760376
372,1.8083441257476807
373,1.7711964845657349
374,1.2952512502670288
375,1.2737724781036377
376,1.2780214548110962
377,1.7707710266113281
378,1.4130220413208008
379,2.0
380,1.3071045875549316
381,1.1267518997192383
382,1.087761402130127
383,1.328587293624878
384,1.13205087184906
385,1.7671668529510498
386,1.6590380668640137
387,1.7730720043182373
388,1.2832897901535034
389,1.7840834856033325
390,1.4737244844436646
391,2.0
392,1.5743482112884521
393,1.2918806076049805
394,1.9879183769226074
395,1.765637993812561
396,1.6816635131835938
397,1.2929959297180176
398,2.0
399,1.2626686096191406
400,2.0
401,1.441269040107727
402,1.2938165664672852
403,1.7604458332061768
404,1.7578074932098389
405,1.7745857238769531
406,1.5707560777664185
407,1.3649444580078125
408,1.2807302474975586
409,1.551192283630371
410,1.3389981985092163
411,1.2871108055114746
412,1.0942871570587158
413,1.3012964725494385
414,1.2846667766571045
415,1.810028076171875
416,1.9062628746032715
417,1.410930871963501
418,1.1214743852615356
419,1.128478765487671
420,1.0895147323608398
421,1.2976181507110596
422,1.3724533319473267
423,1.3117434978485107
424,1.6579238176345825
425,1.2855372428894043
426,1.106067419052124
427,1.3158766031265259
428,1.2722043991088867
429,1.345557689666748
430,1.331043004989624
431,1.0856971740722656
432,1.2152602672576904
433,1.5212751626968384
434,1.2824187278747559
435,1.3398370742797852
436,1.7740802764892578
437,1.6099737882614136
438,1.2897025346755981
439,1.2839581966400146
440,1.106933355331421
441,1.2955963611602783
442,1.2776060104370117
443,1.4164917469024658
444,1.2737205028533936
445,1.3006954193115234
446,1.762178897857666
447,1.2934123277664185
448,1.2770546674728394
449,1.0725700855255127
450,1.2952349185943604
451,1.5331361293792725
452,1.3006970882415771
453,1.5818076133728027
454,1.3049248456954956
455,1.737209677696228
456,1.2791783809661865
457,1.389237642288208
458,1.2848564386367798
459,1.0696327686309814
460,1.5493497848510742
461,1.3668873310089111
462,1.1376813650131226
463,1.2941465377807617
464,1.3765009641647339
465,1.2950714826583862
466,1.2254387140274048
467,1.3427200317382812
468,1.7864916324615479
469,1.607193946838379
470,1.0712947845458984
471,1.518517017364502
472,1.3039212226867676
473,1.7784067392349243
474,1.294643759727478
475,1.3195619583129883
476,1.5103200674057007
477,1.278388261795044
478,1.777570366859436
479,1.5749528408050537
480,1.7641887664794922
481,1.0747618675231934
482,1.2704557180404663
483,1.8216686248779297
484,1.8303576707839966
485,1.5506632328033447
486,1.529191493988037
487,1.3311070203781128
488,1.7630705833435059
489,1.282798409461975
490,1.520525574684143
491,1.5970369577407837
492,1.5209378004074097
493,1.2904059886932373
494,2.0
495,1.3394455909729004
496,1.1210386753082275
497,1.279944896697998
498,1.3071691989898682
499,1.3115909099578857
